Episode,Reward,Final Stack,Loss
348,-180,510,172657.109375
349,260,280,142992.78125
350,150,160,154240.0625
351,90,100,167528.015625
352,-20,990,125085.90625
353,810,830,153948.8125
354,-510,820,155201.21875
355,-510,810,167179.578125
356,410,430,154470.765625
357,220,240,149724.59375
358,-140,10,159058.40625
359,-780,10,138609.703125
360,510,520,205830.953125
361,-430,10,196038.015625
362,510,520,136989.109375
363,-750,10,183322.4375
364,510,520,160932.84375
365,270,280,148835.8125
366,-20,270,162529.640625
367,-510,260,117018.4921875
368,140,150,132148.828125
369,-240,140,157931.734375
370,-280,130,149207.40625
371,510,510,159748.765625
372,20,520,131499.8125
373,270,280,181171.734375
374,150,160,138659.734375
375,-100,10,146684.15625
376,-200,990,162871.15625
377,-20,980,123742.3671875
378,500,510,155258.3125
379,-720,20,166117.15625
380,980,990,148614.25
381,500,520,144774.234375
382,-440,510,133944.609375
383,-750,20,172584.765625
384,-510,990,174563.21875
385,-510,980,155680.125
386,500,510,123421.1015625
387,390,390,174203.75
388,200,220,164695.28125
389,120,130,135221.59375
390,510,510,151267.671875
391,-510,500,145991.75
392,-510,10,148463.59375
393,20,1010,137825.53125
394,510,530,157570.765625
395,-240,80,165263.125
396,510,520,145497.078125
397,-40,510,153694.765625
398,-730,20,154897.25
399,510,520,155970.828125
400,-510,510,147232.171875
401,260,280,205096.84375
402,150,160,145457.71875
403,90,100,172160.59375
404,-30,990,147982.859375
405,500,520,170731.171875
406,-360,510,156028.25
407,360,380,144901.859375
408,-690,10,169172.875
409,510,520,180600.0625
410,-510,10,119066.65625
411,-510,10,142660.5
412,20,1010,125762.2890625
413,-200,1000,188780.8125
414,510,520,160129.671875
415,-510,510,151251.5
416,-30,500,142302.46875
417,10,500,146913.78125
418,-470,490,158063.84375
419,250,270,170016.734375
420,140,160,151845.046875
421,20,170,145000.9375
422,-500,0,124516.8203125
423,510,520,128165.796875
424,270,280,119220.953125
425,-250,10,134854.828125
426,510,520,161386.40625
427,270,280,146236.671875
428,-500,10,147782.296875
429,510,520,123529.28125
430,-20,510,163885.234375
431,-280,20,143936.0
432,750,760,161771.453125
433,-510,10,177893.53125
434,-20,990,149821.75
435,-30,980,152276.359375
436,500,510,124867.2890625
437,-30,500,139804.84375
438,-720,10,130831.0859375
439,1000,1010,132549.875
440,-360,1000,127295.7109375
441,20,1010,159420.65625
442,-160,1000,149260.546875
443,510,520,115763.90625
444,-510,510,123488.4921875
445,-750,20,176395.65625
446,-510,990,120813.3515625
447,500,520,126385.109375
448,-700,10,159801.546875
449,-20,990,122394.6640625
450,500,520,161379.5625
451,270,280,139209.359375
452,-640,10,156683.640625
453,-510,990,179156.1875
454,-510,980,169170.875
455,500,510,165106.359375
456,-20,500,186028.640625
457,-110,490,136730.84375
458,250,270,166717.46875
459,-210,20,125538.484375
460,510,520,191844.65625
461,-220,510,127509.0703125
462,-510,0,131016.0703125
463,510,520,146276.921875
464,-120,510,125862.5234375
465,-160,500,167013.90625
466,-510,490,152649.03125
467,125,145,141351.875
468,20,155,184313.484375
469,20,165,173834.984375
470,90,105,179944.765625
471,-365,15,131540.65625
472,-510,10,116057.765625
473,720,730,155429.46875
474,-510,720,133200.28125
475,-20,710,139822.3125
476,-860,20,152544.703125
477,350,360,136110.609375
478,190,200,119988.234375
479,-600,10,149176.296875
480,510,520,188990.265625
481,270,280,115838.390625
482,150,160,110999.015625
483,90,100,131209.15625
484,740,750,146796.0625
485,-280,240,169666.09375
486,-160,10,129887.390625
487,20,1010,150198.71875
488,510,530,157564.25
489,270,290,155199.59375
490,150,170,141160.015625
491,80,120,110286.59375
492,70,80,110906.9375
493,510,520,163335.40625
494,30,520,139714.109375
495,-500,10,139962.015625
496,520,530,126239.015625
497,-220,520,126122.828125
498,270,280,138895.328125
499,150,160,139040.4375
500,-210,10,125178.515625
501,-230,990,142604.3125
502,-520,20,108204.796875
503,510,520,179501.671875
504,270,280,110122.140625
505,-20,270,96448.3203125
506,140,160,126521.8359375
507,-580,10,140012.0625
508,-20,990,132066.609375
509,260,260,153281.546875
510,-140,250,129974.84375
511,-130,20,150194.96875
512,860,870,162150.609375
513,440,460,132256.15625
514,240,250,145703.953125
515,130,150,129911.0078125
516,-20,140,118522.296875
517,-200,10,118320.625
518,-510,990,120417.4765625
519,-510,980,152076.21875
520,-600,10,146657.375
521,510,520,135329.75
522,-760,10,109369.375
523,510,520,122487.7578125
524,-510,510,129365.078125
525,-700,20,158556.875
526,-20,990,134901.125
527,500,520,104384.109375
528,270,280,149884.546875
529,150,160,150096.34375
530,90,100,130364.53125
531,510,520,124249.4453125
532,-20,510,146606.625
533,260,280,134566.8125
534,-160,10,102220.390625
535,510,520,151558.015625
536,-510,510,148378.28125
537,-20,500,125843.6875
538,260,270,145185.25
539,20,280,118678.1484375
540,-510,270,149555.1875
541,-340,260,137616.84375
542,140,150,156685.203125
543,-180,140,108506.6171875
544,80,90,133445.8125
545,510,520,161319.671875
546,-500,10,114987.078125
547,1000,1010,143875.390625
548,510,530,107122.1796875
549,-510,520,141672.9375
550,270,280,118656.765625
551,150,160,164559.84375
552,-500,150,137795.09375
553,-20,140,132784.203125
554,-20,130,151763.703125
555,70,90,92044.453125
556,510,520,117230.9140625
557,270,280,126436.375
558,-300,270,194094.734375
559,-130,260,153449.921875
560,-510,250,151114.828125
561,130,150,119007.484375
562,-570,20,153677.046875
563,-510,990,177751.046875
564,500,520,122332.53125
565,270,280,114348.15625
566,-250,270,139943.421875
567,-630,20,127705.6796875
568,1000,1010,121806.390625
569,-40,1000,149802.3125
570,620,630,153502.5
571,320,340,117284.140625
572,-510,330,164371.765625
573,-20,320,159872.28125
574,-160,310,116955.015625
575,-180,20,107745.28125
576,105,715,137102.59375
577,-65,705,154535.703125
578,-850,15,130385.8515625
579,510,520,137918.421875
580,-510,510,137240.84375
581,-510,500,130772.890625
582,-510,490,145484.78125
583,250,270,129895.8203125
584,20,280,152290.03125
585,-370,270,150491.21875
586,-60,260,138893.140625
587,-40,230,142335.40625
588,20,240,106290.59375
589,20,250,144689.953125
590,-70,240,115458.0078125
591,-20,230,137273.0625
592,20,240,142811.75
593,130,140,153322.484375
594,-480,130,138821.40625
595,-560,20,152220.53125
596,-20,990,186403.109375
597,10,990,127337.09375
598,520,520,141375.34375
599,-730,10,153495.484375
600,1000,1010,108695.5625
601,1000,1020,136408.046875
602,520,530,115272.671875
603,-20,520,175805.96875
604,-310,10,154173.140625
605,-20,990,115740.8125
606,500,520,153077.96875
607,270,280,151941.0
608,-500,270,156403.171875
609,-510,0,167319.71875
610,-270,990,107546.671875
611,500,520,182095.78125
612,-510,10,142769.5
613,510,520,136197.0625
614,270,280,104154.96875
615,-590,10,117225.1484375
616,-290,990,143964.8125
617,-20,980,129878.46875
618,720,730,135140.09375
619,-420,20,158330.109375
620,-120,990,154963.90625
621,-510,980,151569.03125
622,500,510,118034.828125
623,-110,500,155656.046875
624,-30,490,131374.3125
625,250,270,94767.390625
626,-380,260,129585.0
627,140,150,153464.890625
628,80,100,194752.78125
629,940,950,147143.6875
630,255,255,113395.109375
631,-250,25,145874.453125
632,510,520,167869.53125
633,-20,510,139285.53125
634,-20,500,125165.4375
635,-340,490,102491.515625
636,400,420,152388.640625
637,-510,410,107102.125
638,-510,400,155848.8125
639,-510,390,154779.28125
640,-510,0,131627.828125
641,510,520,106556.6171875
642,-270,10,101643.765625
643,540,550,141593.28125
644,280,300,134067.4375
645,-510,290,134334.46875
646,-140,280,133900.109375
647,150,160,127376.46875
648,20,170,124511.4765625
649,-370,20,165117.65625
650,510,520,127277.6796875
651,-310,510,155002.078125
652,260,280,163265.1875
653,150,160,123305.5390625
654,-200,10,186734.84375
655,510,520,176512.65625
656,20,530,122495.796875
657,-20,520,148366.71875
658,-510,510,125003.2578125
659,-750,20,142048.890625
660,-40,990,149530.6875
661,500,520,131205.4375
662,270,280,136460.140625
663,-370,270,108775.3359375
664,140,160,108868.703125
665,-430,10,105904.0546875
666,610,620,134108.515625
667,-510,10,166774.796875
668,-40,990,142826.390625
669,500,520,106269.9375
670,-480,10,112676.40625
671,-510,990,169783.53125
672,500,520,122251.046875
673,-510,510,158692.71875
674,510,510,153120.15625
675,260,280,148433.4375
676,-30,250,109106.921875
677,-510,200,168115.59375
678,-600,10,133548.078125
679,-550,10,126323.0625
680,-290,990,176363.78125
681,500,520,153453.8125
682,270,280,107635.578125
683,150,160,135347.46875
684,20,170,156356.9375
685,90,110,140377.53125
686,-530,20,118143.9453125
687,780,790,132328.890625
688,-510,20,120997.7578125
689,-20,990,111788.28125
690,-90,980,130268.890625
691,-990,10,92805.09375
692,-510,990,99335.8046875
693,-550,20,117137.5
694,510,520,126598.9609375
695,-20,510,150402.59375
696,-140,500,118755.625
697,260,270,126237.40625
698,-380,20,135735.21875
699,-510,990,176057.015625
700,-510,980,138589.90625
701,-550,10,117165.484375
702,510,520,100696.5234375
703,340,350,110238.7421875
704,-30,340,172358.59375
705,180,190,157527.875
706,-480,180,121354.640625
707,100,110,119578.484375
708,-510,100,140112.328125
709,-510,990,165583.09375
710,-510,980,104127.109375
711,500,510,126939.3046875
712,510,510,155423.6875
713,260,280,143433.953125
714,150,160,127912.21875
715,10,160,128742.4296875
716,-20,150,102384.984375
717,80,100,125709.9296875
718,-370,990,136663.890625
719,-80,980,164598.703125
720,500,510,148349.5
721,260,280,144928.5625
722,-380,270,149026.296875
723,140,160,92989.484375
724,-510,150,121044.3671875
725,-530,20,196133.578125
726,-510,990,106140.015625
727,500,520,139154.40625
728,270,280,122127.703125
729,20,290,117261.5546875
730,-20,280,137900.984375
731,-630,10,136572.375
732,-1000,10,102719.3515625
733,-510,10,138157.3125
734,-270,990,178594.0
735,-510,980,172260.28125
736,-500,10,114837.484375
737,280,750,131227.734375
738,-510,740,126955.2578125
739,20,750,112053.734375
740,10,750,202564.546875
741,-640,20,152509.625
742,-510,990,111130.953125
743,-320,980,128897.265625
744,500,510,158397.578125
745,-430,20,125518.859375
746,-20,990,128650.4765625
747,-230,980,112620.984375
748,-990,10,126961.2578125
749,-510,990,116713.6171875
750,-940,20,95971.8671875
751,20,1010,163250.5
752,-20,1000,109381.1015625
753,-210,990,148279.015625
754,320,700,147423.125
755,-510,10,148550.546875
756,-60,990,137211.8125
757,500,520,200103.875
758,-30,490,142607.46875
759,250,270,116999.5234375
760,460,460,126290.609375
761,-510,10,120370.4375
762,255,265,119903.6484375
763,-140,255,133119.203125
764,-620,25,167787.421875
765,-20,990,161242.765625
766,500,520,114602.5234375
767,270,280,190831.5
768,20,290,173963.984375
769,-20,280,150233.03125
770,-40,270,132858.234375
771,480,480,113944.734375
772,-510,10,164924.875
773,-980,10,143334.796875
774,990,1000,173869.03125
775,510,520,141972.21875
776,270,280,151436.53125
777,-550,10,121959.9453125
778,510,520,140409.09375
779,-20,510,120235.3828125
780,260,280,167072.9375
781,-630,10,149392.09375
782,-510,990,110445.84375
783,-20,980,129458.5078125
784,-520,10,189478.421875
785,540,550,99881.7890625
786,280,300,154288.59375
787,160,170,135329.765625
788,-560,20,136963.609375
789,-20,990,115047.4375
790,520,520,108789.953125
791,270,280,185038.125
792,-510,270,121757.7265625
793,-60,260,179817.578125
794,140,150,157664.515625
795,80,100,132434.796875
796,-460,990,159905.375
797,-20,980,153542.390625
798,-520,970,131197.5
799,-510,960,159132.109375
800,-510,950,163538.484375
801,-970,20,151881.96875
802,510,520,169120.59375
803,-510,510,108762.828125
804,-70,500,137829.4375
805,-460,490,112835.0703125
806,-510,480,91973.671875
807,-510,470,144274.796875
808,-510,460,148965.640625
809,-510,10,147044.015625
810,-620,10,140487.640625
811,510,520,134621.09375
812,-320,510,97294.9453125
813,-120,500,155619.921875
814,-650,10,160136.625
815,-30,990,111531.1328125
816,-500,980,164436.71875
817,-30,950,118751.875
818,480,500,149249.34375
819,-280,10,95742.6875
820,-20,990,135992.953125
821,500,520,161185.46875
822,270,280,132677.421875
823,-90,270,163814.578125
824,140,160,158791.328125
